--------- beginning of main
11-11 00:56:02.002  5321  5321 V Unity   : Context Type: GameActivity
11-11 00:56:02.018  5321  5422 I Unity   : UnityApplication::CreateInstance
11-11 00:56:02.018  5321  5422 I Unity   : GameActivity Package Version '3.0.5'
11-11 00:56:02.018  5321  5422 I Unity   : Starting Game Loop
11-11 00:56:02.020  5321  5422 I Unity   : Handle cmd APP_CMD_START(11)
11-11 00:56:02.024  5321  5422 I Unity   : Handle cmd APP_CMD_RESUME(12)
11-11 00:56:02.038  5321  5422 I Unity   : Handle cmd APP_CMD_WINDOW_INSETS_CHANGED(17)
11-11 00:56:02.042  5321  5422 I Unity   : Handle cmd APP_CMD_WINDOW_INSETS_CHANGED(17)
11-11 00:56:02.042  5321  5422 I Unity   : Handle cmd APP_CMD_WINDOW_INSETS_CHANGED(17)
11-11 00:56:02.042  5321  5422 I Unity   : Handle cmd APP_CMD_WINDOW_INSETS_CHANGED(17)
11-11 00:56:02.042  5321  5422 I Unity   : Handle cmd APP_CMD_CONTENT_RECT_CHANGED(5)
11-11 00:56:02.046  5321  5422 I Unity   : Handle cmd APP_CMD_INIT_WINDOW(1)
11-11 00:56:02.059  5321  5422 I Unity   : MemoryManager: Using 'Dynamic Heap' Allocator.
11-11 00:56:02.101  5321  5422 I Unity   : SystemInfo CPU = ARM64 FP ASIMD AES, Cores = 8, Memory = 11085mb
11-11 00:56:02.101  5321  5422 I Unity   : SystemInfo ARM big.LITTLE configuration: 6 big (mask: 0xfc), 2 little (mask: 0x3)
11-11 00:56:02.101  5321  5422 I Unity   : XR UsableCoreMask: 0xff
11-11 00:56:02.101  5321  5422 I Unity   : ApplicationInfo 'com.aegea.br', Version '1 ', Min API Level '33', Target API Level '33'
11-11 00:56:02.101  5321  5422 I Unity   : Built from '6000.2/respin/6000.2.8f1-e4064264ae96' branch, Version '6000.2.8f1 (c9992ac36c34)', Build type 'Release', Scripting Backend 'il2cpp', CPU 'arm64-v8a', Stripping 'Enabled'
11-11 00:56:02.101  5321  5422 I Unity   : Device Model 'samsung SM-S928B', OS 'Android OS 16 (API 36)'
11-11 00:56:02.215  5321  5422 I Unity   : Unity memory allocator detected: MetaXRAudio native memory allocations will be tracked.
11-11 00:56:02.216  5321  5422 I Unity   : Company Name: Aegea
11-11 00:56:02.216  5321  5422 I Unity   : Product Name: Aegea
11-11 00:56:02.219  5321  5422 D Unity   : loading library OVRPlugin
11-11 00:56:02.569  5321  5422 I Unity   : XRGeneral Settings awakening...
11-11 00:56:02.569  5321  5422 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
11-11 00:56:02.569  5321  5422 I Unity   : UnityEngine.XR.Management.XRGeneralSettings:Awake()
11-11 00:56:02.569  5321  5422 I Unity   : 
11-11 00:56:02.572  5321  5422 E Unity   : ExecutionEngineException: Invalid call to method 'Meta.XR.ImmersiveDebugger.Manager.DebugManagerAddon`1::Init'
11-11 00:56:02.572  5321  5422 E Unity   : 
11-11 00:56:02.572  5321  5422 E Unity   : 
11-11 00:56:02.572  5321  5422 E Unity   : ExecutionEngineException: Invalid call to method 'Meta.XR.ImmersiveDebugger.Manager.DebugManagerAddon`1::Init'
11-11 00:56:02.572  5321  5422 E Unity   : 
11-11 00:56:02.572  5321  5422 E Unity   : 
11-11 00:56:02.583  5321  5422 E Unity   : Exiting application:
11-11 00:56:02.583  5321  5422 E Unity   : 
11-11 00:56:02.583  5321  5422 E Unity   : This .apk was built with the Oculus XR Plugin loader enabled, but is attempting to run on a non-Oculus device.
11-11 00:56:02.583  5321  5422 E Unity   : To build for general Android devices, please disable the Oculus XR Plugin before building the Android player.
11-11 00:56:02.583  5321  5422 E Unity   : 
11-11 00:56:02.583  5321  5422 E Unity   : 
11-11 00:56:02.583  5321  5422 E Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
11-11 00:56:02.583  5321  5422 E Unity   : Unity.XR.Oculus.OculusLoader:RuntimeLoadOVRPlugin()
